iter	Passed	Remaining
743	9177	3157
744	9188	3144
745	9198	3131
746	9208	3118
747	9217	3105
748	9229	3092
749	9241	3080
750	9251	3067
751	9266	3055
752	9279	3043
753	9292	3031
754	9302	3018
755	9311	3005
756	9323	2992
757	9334	2980
758	9342	2966
759	9354	2954
760	9364	2941
761	9370	2926
762	9378	2913
763	9398	2903
764	9410	2890
765	9416	2876
766	9430	2864
767	9437	2850
768	9456	2840
769	9467	2828
770	9477	2815
771	9485	2801
772	9496	2788
773	9502	2774
774	9516	2762
775	9528	2750
776	9542	2738
777	9552	2725
778	9563	2713
779	9577	2701
780	9586	2688
781	9595	2674
782	9603	2661
783	9610	2647
784	9622	2635
785	9632	2622
786	9643	2609
787	9657	2598
788	9667	2585
789	9677	2572
790	9687	2559
791	9698	2547
792	9707	2533
793	9720	2521
794	9729	2508
795	9735	2494
796	9747	2482
797	9755	2469
798	9765	2456
799	9774	2443
800	9791	2432
801	9804	2420
802	9820	2409
803	9828	2396
804	9842	2384
805	9853	2371
806	9867	2359
807	9874	2346
808	9889	2334
809	9901	2322
810	9911	2309
811	9923	2297
812	9937	2285
813	9945	2272
814	9961	2261
815	9976	2249
816	9992	2238
817	10006	2226
818	10018	2214
819	10027	2201
820	10038	2188
821	10046	2175
822	10055	2162
823	10062	2149
824	10071	2136
825	10078	2123
826	10086	2109
827	10107	2099
828	10123	2088
829	10136	2076
830	10147	2063
831	10154	2050
832	10159	2036
833	10175	2025
834	10186	2012
835	10201	2001
836	10211	1988
837	10224	1976
838	10233	1963
839	10246	1951
840	10255	1938
841	10270	1927
842	10282	1915
843	10294	1902
844	10306	1890
845	10314	1877
846	10325	1865
847	10336	1852
848	10346	1840
849	10355	1827
850	10367	1815
851	1037852	103852	1038853	103853	1040854	103854	10419	1766
855	10432	1754
856	10440	1742
857	10453	1730
858	10459	1716
859	10473	1705
860	10487	1693
861	10499	1680
862	10508	1668
863	10521	1656
864	10530	1643
865	10538	1630
866	10553	1619
867	1056868	105868	1056869	105869	1058870	105870	1059871	10587	1554
872	10595	1541
